店名,住所,区名,評価,コメント数,保存数,営業時間,定休日,予算,個室有無,席数,駐車場有無
金魚ヌードル（kingyo noodles）,千代田区神田司町2-16-10 至誠堂ビル B1F,千代田区,3.54,77,2787,[月～金]11:30～15:0017:00～22:00[土]17:00～22:00,[月～金]11:30～15:0017:00～22:00[土]17:00～22:00,～￥999,無,情報なし席,無
屯ちん 池袋本店（とんちん）,豊島区南池袋2-26-2,豊島区,3.53,1191,25338,9：00～23：００,9：00～23：００,～￥999,無,17席,無
ラーメン龍の家 新宿小滝橋通り店（RAMEN TATSUNOYA）,新宿区西新宿7-4-5 富士野ビル 1F,新宿区,3.53,1103,37362,現在、時短営業中11:00～22:00(22時までご入店いただけます)通常11:00～23:30(オーダーストップ23:00)※お並び頂く場合も23:00受付終了,現在、時短営業中11:00～22:00(22時までご入店いただけます)通常11:00～23:30(オーダーストップ23:00)※お並び頂く場合も23:00受付終了,"￥1,000～￥1,999",無,18席,無
ホープ軒本舗 吉祥寺店（ほーぷけんほんぽ）,武蔵野市吉祥寺本町1-14-12,武蔵野市,3.53,716,14310,11:00～24:00,11:00～24:00,～￥999,無,15席,無
ぶぶか 吉祥寺北口店,武蔵野市吉祥寺本町1-7-1 1F,武蔵野市,3.53,578,14888,［月～金］11:30～23:00［土・日・祝］11:00～23:00,［月～金］11:30～23:00［土・日・祝］11:00～23:00,～￥999,無,12席,無
節骨麺たいぞう 池袋総本店（ぶしこつめんたいぞう）,豊島区西池袋1-24-8 江戸半ビル　１Ｆ,豊島区,3.53,477,10949,11:00～22:30(LO22:15),11:00～22:30(LO22:15),"￥1,000～￥1,999",無,28席,無
風は南から（カゼハミナミカラ）,品川区小山4-4-2,品川区,3.53,405,8675,[月・火・木・金・土]11:00～22:45[水]11:00～16:45 18:30～22:45[日・祝]11:00～22:30※スープの状況で早めに閉店する場合あり,[月・火・木・金・土]11:00～22:45[水]11:00～16:45 18:30～22:45[日・祝]11:00～22:30※スープの状況で早めに閉店する場合あり,"￥1,000～￥1,999",無,13席,無
つけ麺屋 ひまわり（つけめんや ひまわり）,新宿区高田馬場3-4-16 ＭＫビル　１Ｆ,新宿区,3.53,377,10538,平日 11:00～22:00（L.o.21:40）通し営業土日 11:00～15:00不定休となります。※祝日も曜日通り営業しております。何卒、ご理解、ご協力の程宜しくお願いいたします。,平日 11:00～22:00（L.o.21:40）通し営業土日 11:00～15:00不定休となります。※祝日も曜日通り営業しております。何卒、ご理解、ご協力の程宜しくお願いいたします。,～￥999,無,24席,無
鶏そば みた葉,新宿区歌舞伎町1-3-16 東金ビル 1Ｆ,新宿区,3.53,372,14934,【月〜日・祝】11:30〜15:00(L.O)17:00〜翌6:00（L.O 5:45）※スタッフの出勤状況により、営業時間変更あり。詳しくは公式X(旧Twitter)をご確認いただけると幸いです。,【月〜日・祝】11:30〜15:00(L.O)17:00〜翌6:00（L.O 5:45）※スタッフの出勤状況により、営業時間変更あり。詳しくは公式X(旧Twitter)をご確認いただけると幸いです。,～￥999,無,16席,無
支那麺 はしご 銀座四丁目店,中央区銀座4-13-1,中央区,3.53,371,11703,[月～土]11:00～21:00,[月～土]11:00～21:00,"￥1,000～￥1,999",無,16席,無
四川担担麺 阿吽 浅草,台東区西浅草1-1-13 カーサ田原町 1F,台東区,3.53,349,13790,［月～日、祝日］昼 11：00～15：00※材料なくなり次第閉店※当面の間、昼時間のみ営業となります。(上記、変更の場合、HP等にてご案内いたします),［月～日、祝日］昼 11：00～15：00※材料なくなり次第閉店※当面の間、昼時間のみ営業となります。(上記、変更の場合、HP等にてご案内いたします),～￥999,無,8席,無
Rahmen Eddie（ラーメン エディ）,新宿区新宿1-11-7,新宿区,3.53,334,13440,11:00〜21:00,11:00〜21:00,"￥1,000～￥1,999",無,14席,無
